empty_cells,filled_cells,fill_ratio,empty_per_row_mean,empty_per_row_std,empty_per_row_min,empty_per_row_max,empty_per_col_mean,empty_per_col_std,empty_per_col_min,empty_per_col_max,empty_per_box_mean,empty_per_box_std,empty_per_box_min,empty_per_box_max,isolated_cells,givens_variance,digit_entropy,difficulty
49,32,0.3950617283950617,5.444444444444445,1.1653431646335017,4,7,5.444444444444445,1.9499920860871383,3,9,5.444444444444445,1.1653431646335017,3,7,26,1.3580246913580245,3.090825502193724,medium
51,30,0.37037037037037035,5.666666666666667,0.9428090415820634,4,7,5.666666666666667,1.4142135623730951,3,8,5.666666666666667,1.699673171197595,3,9,31,2.8888888888888893,2.8859175795054957,medium
43,38,0.4691358024691358,4.777777777777778,1.1331154474650633,3,6,4.777777777777778,1.3966450099973926,2,7,4.777777777777778,0.9162456945817024,3,6,9,0.8395061728395061,3.112784673712868,medium
43,38,0.4691358024691358,4.777777777777778,1.9309052441091963,1,7,4.777777777777778,1.314684396244359,3,7,4.777777777777778,0.9162456945817024,3,6,17,0.8395061728395062,3.1267864888612755,medium
45,36,0.4444444444444444,5.0,1.5634719199411433,2,8,5.0,0.9428090415820634,3,6,5.0,2.0548046676563256,2,9,13,4.222222222222222,2.996624141510993,medium
34,47,0.5802469135802469,3.7777777777777777,1.227262335243029,2,6,3.7777777777777777,1.8724777273725242,1,7,3.7777777777777777,1.314684396244359,2,6,4,1.7283950617283952,3.0617960972365696,easy
53,28,0.345679012345679,5.888888888888889,1.7916128329552332,3,8,5.888888888888889,0.9938079899999066,4,7,5.888888888888889,1.2862041003100249,3,7,41,1.6543209876543208,3.022563191663422,hard
42,39,0.48148148148148145,4.666666666666667,1.247219128924647,3,7,4.666666666666667,0.9428090415820634,3,6,4.666666666666667,0.816496580927726,3,6,6,0.6666666666666666,3.098627538986754,medium
56,25,0.30864197530864196,6.222222222222222,1.314684396244359,4,8,6.222222222222222,1.617802197617893,3,8,6.222222222222222,1.872477727372524,2,8,45,3.5061728395061724,3.048884070537636,hard
41,40,0.49382716049382713,4.555555555555555,1.5713484026367723,2,7,4.555555555555555,1.7708197167232476,2,9,4.555555555555555,1.4229164972072998,2,7,10,2.0246913580246915,3.0666031096732476,medium
49,32,0.3950617283950617,5.444444444444445,1.2570787221094177,4,7,5.444444444444445,1.0657403385139377,4,7,5.444444444444445,0.9558139185602919,4,7,23,0.9135802469135802,3.1084585933443494,medium
57,24,0.2962962962962963,6.333333333333333,1.9436506316151,3,9,6.333333333333333,1.8856180831641267,4,9,6.333333333333333,1.6996731711975948,3,9,48,2.888888888888889,3.0587462305923774,hard
61,20,0.24691358024691357,6.777777777777778,1.0304020550550783,5,8,6.777777777777778,1.314684396244359,5,9,6.777777777777778,0.9162456945817024,5,8,56,0.8395061728395061,2.8709505944546683,hard
32,49,0.6049382716049383,3.5555555555555554,1.4989708403591155,2,7,3.5555555555555554,1.4989708403591155,1,6,3.5555555555555554,1.640535895581489,1,6,1,2.691358024691358,3.128863673241242,easy
49,32,0.3950617283950617,5.444444444444445,1.5713484026367723,3,8,5.444444444444445,1.640535895581489,3,8,5.444444444444445,1.3425606637327303,4,8,29,1.8024691358024691,3.0908255021937237,medium
64,17,0.20987654320987653,7.111111111111111,1.5234788000891208,4,9,7.111111111111111,1.0999438818457405,5,9,7.111111111111111,1.3698697784375504,5,9,63,1.8765432098765429,2.984234164652489,hard
45,36,0.4444444444444444,5.0,1.8856180831641267,1,7,5.0,1.247219128924647,3,7,5.0,1.3333333333333333,2,6,20,1.7777777777777777,3.0839921145034004,medium
47,34,0.41975308641975306,5.222222222222222,1.4740554623801776,3,7,5.222222222222222,1.227262335243029,3,8,5.222222222222222,1.227262335243029,4,7,20,1.506172839506173,3.0697169902465813,medium
31,50,0.6172839506172839,3.4444444444444446,1.4989708403591155,1,6,3.4444444444444446,1.1653431646335017,2,5,3.4444444444444446,1.0657403385139377,2,5,0,1.1358024691358024,3.1076561907652303,easy
43,38,0.4691358024691358,4.777777777777778,1.9876159799998132,2,9,4.777777777777778,1.314684396244359,3,7,4.777777777777778,1.547598697464902,2,7,15,2.3950617283950617,2.9929121326090864,medium
42,39,0.48148148148148145,4.666666666666667,1.699673171197595,2,7,4.666666666666667,1.8856180831641267,0,7,4.666666666666667,0.9428090415820634,3,6,15,0.8888888888888888,3.1447882841093246,medium
53,28,0.345679012345679,5.888888888888889,1.594744454934147,3,8,5.888888888888889,1.5947444549341472,3,8,5.888888888888889,1.594744454934147,3,9,39,2.5432098765432096,3.110577243331642,hard
38,43,0.5308641975308642,4.222222222222222,1.547598697464902,1,6,4.222222222222222,1.1331154474650633,2,6,4.222222222222222,1.3966450099973926,2,7,1,1.950617283950617,3.1231121398263446,easy
30,51,0.6296296296296297,3.3333333333333335,1.4907119849998598,1,6,3.3333333333333335,1.2472191289246473,2,6,3.3333333333333335,1.699673171197595,0,6,1,2.8888888888888893,3.092407697194207,easy
43,38,0.4691358024691358,4.777777777777778,1.314684396244359,3,7,4.777777777777778,1.6850834320114558,1,7,4.777777777777778,1.7497795275581804,2,7,14,3.061728395061729,3.1191419084546093,medium
39,42,0.5185185185185185,4.333333333333333,1.3333333333333333,2,6,4.333333333333333,1.9999999999999998,1,7,4.333333333333333,1.5634719199411433,2,6,8,2.4444444444444446,3.0961611871181116,easy
37,44,0.5432098765432098,4.111111111111111,1.3698697784375502,1,6,4.111111111111111,1.4487116456005886,2,6,4.111111111111111,1.7284832429004493,2,7,3,2.987654320987654,3.0728468256669683,easy
47,34,0.41975308641975306,5.222222222222222,1.0304020550550783,4,7,5.222222222222222,1.617802197617893,3,8,5.222222222222222,1.8121673811444545,3,9,22,3.283950617283951,3.058235827730017,medium
58,23,0.2839506172839506,6.444444444444445,1.892154040658489,2,9,6.444444444444445,0.6849348892187751,6,8,6.444444444444445,1.0657403385139377,5,8,56,1.1358024691358024,2.855539000552653,hard
45,36,0.4444444444444444,5.0,1.3333333333333333,2,7,5.0,1.632993161855452,2,8,5.0,1.247219128924647,3,7,14,1.5555555555555556,3.1077352526221036,medium
37,44,0.5432098765432098,4.111111111111111,1.4487116456005886,2,7,4.111111111111111,2.0245407953653998,2,8,4.111111111111111,1.4487116456005886,2,7,8,2.0987654320987654,3.145280712205447,easy
56,25,0.30864197530864196,6.222222222222222,0.9162456945817024,5,8,6.222222222222222,1.0304020550550783,5,8,6.222222222222222,0.9162456945817024,5,8,45,0.8395061728395062,3.0634651896016476,hard
36,45,0.5555555555555556,4.0,1.5634719199411433,1,7,4.0,1.0540925533894598,3,6,4.0,1.1547005383792515,2,6,2,1.3333333333333333,3.0833966428273683,easy
61,20,0.24691358024691357,6.777777777777778,1.0304020550550783,5,8,6.777777777777778,1.9876159799998132,3,9,6.777777777777778,1.314684396244359,4,9,55,1.7283950617283952,3.0464393446710156,hard
43,38,0.4691358024691358,4.777777777777778,1.314684396244359,2,7,4.777777777777778,1.227262335243029,3,7,4.777777777777778,1.7497795275581802,2,8,10,3.0617283950617287,3.1459721718402376,medium
49,32,0.3950617283950617,5.444444444444445,1.4229164972072998,3,7,5.444444444444445,1.7708197167232473,3,8,5.444444444444445,1.5713484026367723,3,8,26,2.4691358024691357,2.9567475629608078,medium
45,36,0.4444444444444444,5.0,1.4907119849998598,3,8,5.0,1.1547005383792515,3,7,5.0,1.3333333333333333,4,8,14,1.7777777777777777,3.099665973303956,medium
53,28,0.345679012345679,5.888888888888889,1.0999438818457405,4,7,5.888888888888889,1.7284832429004493,3,9,5.888888888888889,0.9938079899999066,5,8,40,0.9876543209876544,3.0530900835303276,hard
61,20,0.24691358024691357,6.777777777777778,1.3966450099973928,4,8,6.777777777777778,1.547598697464902,4,9,6.777777777777778,1.8121673811444545,2,9,58,3.2839506172839505,2.933206219346495,hard
60,21,0.25925925925925924,6.666666666666667,1.4142135623730951,5,9,6.666666666666667,1.414213562373095,4,9,6.666666666666667,0.9428090415820634,5,8,56,0.8888888888888888,2.891851946382239,hard
47,34,0.41975308641975306,5.222222222222222,0.7856742013183862,4,7,5.222222222222222,1.6850834320114558,2,7,5.222222222222222,0.9162456945817024,4,7,23,0.8395061728395062,3.08043840132306,medium
43,38,0.4691358024691358,4.777777777777778,1.547598697464902,3,8,4.777777777777778,1.0304020550550783,3,6,4.777777777777778,1.0304020550550783,3,6,13,1.0617283950617284,3.0402876341822505,medium
51,30,0.37037037037037035,5.666666666666667,2.260776661041756,2,9,5.666666666666667,1.1547005383792515,3,7,5.666666666666667,1.4907119849998598,3,8,37,2.2222222222222223,2.937104464615157,medium
48,33,0.4074074074074074,5.333333333333333,1.5634719199411433,4,8,5.333333333333333,1.5634719199411433,3,7,5.333333333333333,1.0540925533894598,4,7,22,1.1111111111111112,2.9735245306421696,medium
40,41,0.5061728395061729,4.444444444444445,1.4229164972072998,3,7,4.444444444444445,1.2570787221094177,2,6,4.444444444444445,1.2570787221094177,3,6,7,1.5802469135802468,3.0703706019152217,easy
39,42,0.5185185185185185,4.333333333333333,1.0540925533894596,3,6,4.333333333333333,1.8856180831641267,2,8,4.333333333333333,1.8257418583505538,2,7,8,3.3333333333333335,3.124260733107775,easy
34,47,0.5802469135802469,3.7777777777777777,1.1331154474650633,2,6,3.7777777777777777,0.7856742013183862,2,5,3.7777777777777777,1.314684396244359,1,5,0,1.7283950617283952,3.09487116162222,easy
36,45,0.5555555555555556,4.0,2.211083193570267,0,7,4.0,1.0540925533894598,2,5,4.0,1.8257418583505538,1,7,8,3.3333333333333335,3.130634354362319,easy
47,34,0.41975308641975306,5.222222222222222,1.3966450099973926,2,7,5.222222222222222,1.6850834320114556,2,7,5.222222222222222,0.9162456945817024,4,7,24,0.8395061728395062,3.0281683579855305,medium
34,47,0.5802469135802469,3.7777777777777777,0.9162456945817024,2,5,3.7777777777777777,1.8724777273725242,1,6,3.7777777777777777,1.6850834320114558,1,7,0,2.8395061728395063,3.127884331500802,easy
56,25,0.30864197530864196,6.222222222222222,1.227262335243029,4,8,6.222222222222222,1.0304020550550783,5,8,6.222222222222222,0.6285393610547089,5,7,44,0.3950617283950617,2.8888840705376357,hard
59,22,0.2716049382716049,6.555555555555555,1.7708197167232473,4,9,6.555555555555555,1.7708197167232473,4,9,6.555555555555555,1.4229164972072998,4,9,54,2.0246913580246915,3.0837651410695517,hard
63,18,0.2222222222222222,7.0,1.3333333333333333,5,9,7.0,1.247219128924647,5,9,7.0,1.4142135623730951,4,9,62,2.0,2.927451224964519,hard
38,43,0.5308641975308642,4.222222222222222,1.617802197617893,2,7,4.222222222222222,1.227262335243029,2,6,4.222222222222222,1.617802197617893,2,8,6,2.6172839506172836,3.129867815534561,easy
62,19,0.2345679012345679,6.888888888888889,0.9938079899999066,6,9,6.888888888888889,0.9938079899999066,5,8,6.888888888888889,0.9938079899999066,6,9,60,0.9876543209876544,3.036372249830224,hard
46,35,0.43209876543209874,5.111111111111111,1.3698697784375502,2,7,5.111111111111111,1.7916128329552332,2,8,5.111111111111111,0.8748897637790901,4,6,20,0.7654320987654322,3.1440274896488516,medium
33,48,0.5925925925925926,3.6666666666666665,1.414213562373095,0,5,3.6666666666666665,1.0540925533894598,2,5,3.6666666666666665,0.9428090415820634,2,5,0,0.8888888888888888,3.099688546745176,easy
61,20,0.24691358024691357,6.777777777777778,1.547598697464902,4,9,6.777777777777778,1.1331154474650633,5,8,6.777777777777778,1.1331154474650633,5,8,57,1.2839506172839505,3.0464393446710156,hard
45,36,0.4444444444444444,5.0,1.1547005383792515,3,7,5.0,1.632993161855452,3,8,5.0,1.7638342073763937,2,8,16,3.111111111111111,3.0839921145034,medium
32,49,0.6049382716049383,3.5555555555555554,1.1653431646335017,1,5,3.5555555555555554,1.0657403385139377,2,6,3.5555555555555554,1.4989708403591158,2,7,0,2.246913580246914,3.10549128492029,easy
54,27,0.3333333333333333,6.0,1.3333333333333333,4,8,6.0,0.9428090415820634,4,7,6.0,1.0540925533894598,5,8,39,1.1111111111111112,3.0558392436106083,hard
33,48,0.5925925925925926,3.6666666666666665,1.5634719199411433,2,6,3.6666666666666665,1.1547005383792517,2,6,3.6666666666666665,1.1547005383792515,2,6,2,1.3333333333333333,3.1174959003342035,easy
50,31,0.38271604938271603,5.555555555555555,1.9499920860871385,2,8,5.555555555555555,1.640535895581489,3,8,5.555555555555555,1.7069212773041351,3,9,35,2.9135802469135803,3.090504777779864,medium
57,24,0.2962962962962963,6.333333333333333,1.7638342073763937,4,9,6.333333333333333,0.9428090415820634,5,8,6.333333333333333,1.1547005383792515,5,8,47,1.3333333333333333,3.0943609377704333,hard
42,39,0.48148148148148145,4.666666666666667,1.632993161855452,3,7,4.666666666666667,1.247219128924647,2,6,4.666666666666667,1.247219128924647,3,7,12,1.5555555555555554,3.1060761045111973,medium
58,23,0.2839506172839506,6.444444444444445,1.1653431646335017,5,8,6.444444444444445,1.1653431646335017,5,8,6.444444444444445,1.3425606637327303,3,8,52,1.8024691358024691,2.893825284084664,hard
61,20,0.24691358024691357,6.777777777777778,1.547598697464902,5,9,6.777777777777778,1.314684396244359,4,9,6.777777777777778,1.1331154474650633,5,9,57,1.2839506172839508,2.908694969562842,hard
40,41,0.5061728395061729,4.444444444444445,0.49690399499995325,4,5,4.444444444444445,1.2570787221094177,3,7,4.444444444444445,0.6849348892187751,3,5,4,0.4691358024691357,3.093431969903195,easy
47,34,0.41975308641975306,5.222222222222222,1.4740554623801778,3,7,5.222222222222222,1.314684396244359,4,7,5.222222222222222,0.9162456945817024,4,6,20,0.8395061728395061,3.045523959920323,medium
57,24,0.2962962962962963,6.333333333333333,1.247219128924647,4,8,6.333333333333333,1.1547005383792515,4,8,6.333333333333333,1.1547005383792515,5,8,49,1.3333333333333333,3.073934896284056,hard
45,36,0.4444444444444444,5.0,0.816496580927726,4,6,5.0,1.4907119849998598,2,7,5.0,1.0540925533894598,3,7,14,1.1111111111111112,3.0510173642897036,medium
37,44,0.5432098765432098,4.111111111111111,1.0999438818457405,2,6,4.111111111111111,0.8748897637790901,3,6,4.111111111111111,1.3698697784375504,2,6,0,1.8765432098765433,3.055103210868642,easy
50,31,0.38271604938271603,5.555555555555555,0.9558139185602919,4,7,5.555555555555555,0.9558139185602919,4,7,5.555555555555555,1.3425606637327303,3,8,24,1.8024691358024691,3.099875553762229,medium
52,29,0.35802469135802467,5.777777777777778,1.547598697464902,3,8,5.777777777777778,1.227262335243029,4,8,5.777777777777778,1.6850834320114556,2,8,35,2.839506172839506,3.056641996592141,medium
48,33,0.4074074074074074,5.333333333333333,1.3333333333333333,3,7,5.333333333333333,0.9428090415820634,4,7,5.333333333333333,0.816496580927726,4,6,21,0.6666666666666666,3.085933801689039,medium
37,44,0.5432098765432098,4.111111111111111,1.286204100310025,1,6,4.111111111111111,0.8748897637790902,2,5,4.111111111111111,1.3698697784375504,2,7,0,1.8765432098765433,3.021314860459035,easy
33,48,0.5925925925925926,3.6666666666666665,1.1547005383792515,1,5,3.6666666666666665,1.4907119849998598,2,7,3.6666666666666665,1.4907119849998596,2,6,2,2.2222222222222223,3.1396654409858487,easy
38,43,0.5308641975308642,4.222222222222222,1.227262335243029,2,6,4.222222222222222,1.872477727372524,0,7,4.222222222222222,0.7856742013183862,3,5,6,0.6172839506172839,3.114634745021687,easy
57,24,0.2962962962962963,6.333333333333333,1.4907119849998598,3,8,6.333333333333333,1.247219128924647,5,8,6.333333333333333,1.7638342073763935,3,9,51,3.1111111111111107,2.986440501696144,hard
55,26,0.32098765432098764,6.111111111111111,1.286204100310025,3,8,6.111111111111111,1.1967032904743342,4,8,6.111111111111111,1.7916128329552332,3,8,43,3.2098765432098766,3.074875775583769,hard
59,22,0.2716049382716049,6.555555555555555,0.9558139185602919,5,8,6.555555555555555,1.0657403385139377,5,8,6.555555555555555,1.2570787221094177,4,8,54,1.5802469135802468,2.954003642329854,hard
49,32,0.3950617283950617,5.444444444444445,1.1653431646335017,4,7,5.444444444444445,1.3425606637327303,4,8,5.444444444444445,0.9558139185602919,4,7,22,0.9135802469135802,3.140319531114783,medium
30,51,0.6296296296296297,3.3333333333333335,1.4142135623730951,1,5,3.3333333333333335,0.4714045207910317,3,4,3.3333333333333335,1.1547005383792515,2,5,0,1.333333333333333,3.111892372874422,easy
44,37,0.4567901234567901,4.888888888888889,1.3698697784375504,2,6,4.888888888888889,2.078698548207745,1,8,4.888888888888889,1.0999438818457405,3,7,16,1.2098765432098766,3.1363932465955,medium
39,42,0.5185185185185185,4.333333333333333,1.247219128924647,2,6,4.333333333333333,1.3333333333333333,2,6,4.333333333333333,1.247219128924647,3,7,5,1.5555555555555556,3.132939970645877,easy
41,40,0.49382716049382713,4.555555555555555,1.4229164972072998,3,7,4.555555555555555,1.4989708403591155,2,7,4.555555555555555,1.3425606637327303,2,7,10,1.8024691358024691,3.0593407582869148,medium
57,24,0.2962962962962963,6.333333333333333,0.8164965809277259,5,8,6.333333333333333,1.0540925533894596,4,8,6.333333333333333,0.6666666666666666,5,7,53,0.4444444444444444,2.903107168362811,hard
60,21,0.25925925925925924,6.666666666666667,1.4142135623730951,4,9,6.666666666666667,0.9428090415820634,5,8,6.666666666666667,0.816496580927726,6,8,57,0.6666666666666666,2.819957898557147,hard
51,30,0.37037037037037035,5.666666666666667,0.816496580927726,4,7,5.666666666666667,1.247219128924647,4,8,5.666666666666667,1.7638342073763937,2,8,27,3.111111111111111,2.799047482945947,medium
52,29,0.35802469135802467,5.777777777777778,1.4740554623801778,4,8,5.777777777777778,1.314684396244359,4,8,5.777777777777778,1.6850834320114558,3,8,37,2.8395061728395063,2.926394359575727,medium
64,17,0.20987654320987653,7.111111111111111,1.1967032904743342,5,9,7.111111111111111,1.0999438818457405,5,9,7.111111111111111,1.4487116456005886,5,9,62,2.0987654320987654,3.013070929103845,hard
54,27,0.3333333333333333,6.0,1.247219128924647,4,8,6.0,0.9428090415820634,5,7,6.0,0.816496580927726,5,7,36,0.6666666666666666,3.069340279780989,hard
49,32,0.3950617283950617,5.444444444444445,1.640535895581489,4,8,5.444444444444445,1.2570787221094177,4,7,5.444444444444445,1.4989708403591155,4,8,26,2.2469135802469133,3.0817475629608078,medium
35,46,0.5679012345679012,3.888888888888889,1.3698697784375504,2,7,3.888888888888889,1.8525924445036743,2,7,3.888888888888889,1.0999438818457405,2,6,3,1.2098765432098766,3.123636894348159,easy
49,32,0.3950617283950617,5.444444444444445,0.8314794192830981,4,7,5.444444444444445,1.0657403385139377,3,7,5.444444444444445,1.0657403385139377,4,7,18,1.1358024691358024,3.0817475629608073,medium
39,42,0.5185185185185185,4.333333333333333,1.247219128924647,2,6,4.333333333333333,1.4907119849998598,2,7,4.333333333333333,1.4907119849998596,2,7,6,2.222222222222222,3.022274568818428,easy
40,41,0.5061728395061729,4.444444444444445,1.2570787221094177,2,6,4.444444444444445,0.6849348892187751,3,5,4.444444444444445,0.6849348892187751,3,5,0,0.4691358024691357,3.107433873190498,easy
51,30,0.37037037037037035,5.666666666666667,1.247219128924647,4,8,5.666666666666667,1.247219128924647,4,8,5.666666666666667,1.1547005383792515,3,7,30,1.3333333333333333,2.7096856969120644,medium
45,36,0.4444444444444444,5.0,0.9428090415820634,4,7,5.0,1.632993161855452,2,8,5.0,1.699673171197595,2,8,15,2.888888888888889,3.092061393821548,medium
34,47,0.5802469135802469,3.7777777777777777,1.4740554623801778,2,6,3.7777777777777777,1.547598697464902,1,7,3.7777777777777777,1.617802197617893,2,6,3,2.617283950617284,2.9646877177121764,easy
64,17,0.20987654320987653,7.111111111111111,1.0999438818457405,6,9,7.111111111111111,0.9938079899999066,6,9,7.111111111111111,0.9938079899999066,6,9,64,0.9876543209876544,2.6601297526332566,hard
56,25,0.30864197530864196,6.222222222222222,1.227262335243029,4,8,6.222222222222222,1.314684396244359,5,9,6.222222222222222,1.3966450099973928,4,8,43,1.9506172839506175,2.8390795706241745,hard
36,45,0.5555555555555556,4.0,1.5634719199411433,2,7,4.0,1.7638342073763937,1,6,4.0,1.3333333333333333,2,6,7,1.7777777777777777,3.123463598881566,easy
64,17,0.20987654320987653,7.111111111111111,0.5665577237325317,6,8,7.111111111111111,0.8748897637790901,6,8,7.111111111111111,0.8748897637790901,5,8,64,0.7654320987654322,2.8954238702803154,hard
48,33,0.4074074074074074,5.333333333333333,0.4714045207910317,5,6,5.333333333333333,1.9436506316151,1,8,5.333333333333333,2.054804667656325,2,9,24,4.222222222222223,2.9906232856973216,medium
48,33,0.4074074074074074,5.333333333333333,1.414213562373095,2,7,5.333333333333333,1.247219128924647,3,7,5.333333333333333,1.4907119849998598,3,7,24,2.2222222222222228,3.082907575322073,medium
38,43,0.5308641975308642,4.222222222222222,1.0304020550550783,2,6,4.222222222222222,1.227262335243029,2,6,4.222222222222222,2.298684540619689,0,7,2,5.283950617283951,3.1270084421295823,easy
43,38,0.4691358024691358,4.777777777777778,1.1331154474650633,3,7,4.777777777777778,1.314684396244359,3,7,4.777777777777778,1.0304020550550783,3,6,9,1.0617283950617284,3.0498804756717317,medium
